pi,prs (Pa),theta (K),qv (kg/kg),u (m/s),v (m/s),z (m)
0.6873968,26892.129,327.54,3.779e-05,28.0,7.0,10050.0
0.68441933,26486.209,327.66,3.3289998e-05,28.0,7.0,10150.001
0.6814429,26084.834,327.77,2.924e-05,28.0,7.0,10250.000999999998
0.67846745,25687.951,327.87,2.5599998e-05,28.0,7.0,10350.0
0.67549294,25295.522999999997,327.98,2.234e-05,28.0,7.0,10450.001
0.6725193,24907.517999999996,328.07,1.9430001e-05,28.0,7.0,10550.0
0.66954654,24523.889,328.17,1.683e-05,28.0,7.0,10650.001
0.6665746,24144.607000000004,328.26,1.4530001e-05,28.0,7.0,10750.000999999998
0.6636034000000001,23769.635,328.34,1.248e-05,28.0,7.0,10850.0
0.660633,23398.938,328.43,1.0680001e-05,28.0,7.0,10950.001
0.6576634,23032.484,328.51,9.09e-06,28.0,7.0,11050.0
0.6546945,22670.237999999998,328.59,7.69e-06,28.0,7.0,11150.001
0.65172625,22312.16,328.66,6.47e-06,28.0,7.0,11250.000999999998
0.64875865,21958.22,328.73,5.41e-06,28.0,7.0,11350.0
0.64579165,21608.379,328.8,4.4900003e-06,28.0,7.0,11450.001
0.6428253,21262.615,328.87,3.6899999e-06,28.0,7.0,11550.0
0.6398596,20920.9,328.94,2.9999998999999997e-06,28.0,7.0,11650.001
0.63689446,20583.186,329.0,2.41e-06,28.0,7.0,11750.000999999998
0.6339299,20249.453,329.07,1.91e-06,28.0,7.0,11850.0
0.63096595,19919.672,329.13,1.4799998999999999e-06,28.0,7.0,11950.001
0.6280059,19594.174,329.94,1.3e-06,28.0,7.0,12050.0
0.6250565,19273.645,331.51,1.32e-06,28.0,7.0,12150.001
0.62212104,18958.365,333.08,1.35e-06,28.0,7.0,12250.000999999998
0.6191994000000001,18648.25,334.66,1.37e-06,28.0,7.0,12350.0
0.6162916,18343.218999999997,336.25,1.39e-06,28.0,7.0,12450.001
0.61339754,18043.188000000002,337.85,1.41e-06,28.0,7.0,12550.0
0.6105172,17748.076,339.46,1.44e-06,28.0,7.0,12650.001
0.6076505,17457.805,341.07,1.46e-06,28.0,7.0,12750.000999999998
0.60479736,17172.287,342.69,1.49e-06,28.0,7.0,12850.0
0.6019576999999999,16891.447,344.32,1.51e-06,28.0,7.0,12950.001
0.59913146,16615.21,345.96,1.54e-06,28.0,7.0,13050.0
0.5963185999999999,16343.501,347.6,1.56e-06,28.0,7.0,13150.001000000002
0.59351903,16076.243999999999,349.25,1.59e-06,28.0,7.0,13250.001
0.5907326999999999,15813.365,350.91,1.6100001e-06,28.0,7.0,13350.0
0.5879595000000001,15554.793,352.58,1.64e-06,28.0,7.0,13450.001
0.5851995,15300.458999999999,354.25,1.6700002e-06,28.0,7.0,13550.0
0.5824524999999999,15050.288999999999,355.94,1.7e-06,28.0,7.0,13650.001000000002
0.57971853,14804.226999999999,357.63,1.73e-06,28.0,7.0,13750.001
0.57699746,14562.188999999998,359.33,1.75e-06,28.0,7.0,13850.0
0.57428926,14324.12,361.03,1.78e-06,28.0,7.0,13950.001
0.5715939,14089.951000000001,362.75,1.8100001e-06,28.0,7.0,14050.0
0.56891125,13859.618,364.47,1.8400001000000001e-06,28.0,7.0,14150.001000000002
0.56624126,13633.055,366.2,1.87e-06,28.0,7.0,14250.001
0.5635839,13410.203000000001,367.94,1.91e-06,28.0,7.0,14350.0
0.56093913,13191.003999999999,369.69,1.94e-06,28.0,7.0,14450.001
0.5583069,12975.396,371.45,1.97e-06,28.0,7.0,14550.001000000002
0.55568707,12763.321000000002,373.21,2e-06,28.0,7.0,14650.001000000002
0.55307966,12554.722,374.99,2.04e-06,28.0,7.0,14750.001
0.5504846,12349.538,376.77,2.07e-06,28.0,7.0,14850.0
0.5479018,12147.716999999999,378.56,2.11e-06,28.0,7.0,14950.001
0.54533124,11949.2,380.36,2.14e-06,28.0,7.0,15050.001000000002
0.5427728,11753.937,382.17,2.1800001000000002e-06,28.0,7.0,15150.001000000002
0.5402265,11561.87,383.98,2.21e-06,28.0,7.0,15250.001
0.53769225,11372.948999999999,385.81,2.2499999e-06,28.0,7.0,15350.0
0.53516996,11187.123,387.64,2.2899999e-06,28.0,7.0,15450.001
0.5326595999999999,11004.339,389.48,2.3300001e-06,28.0,7.0,15550.001000000002
0.5301610999999999,10824.546999999999,391.33,2.37e-06,28.0,7.0,15650.001000000002
0.5276744000000001,10647.698,393.19,2.4e-06,28.0,7.0,15750.001
0.5251994000000001,10473.745,395.06,2.45e-06,28.0,7.0,15850.0
