pi,prs (Pa),theta (K),qv (kg/kg),u (m/s),v (m/s),z (m)
0.5934451,16069.231000000002,348.02,1.43e-06,28.0,7.0,13250.001
0.59064895,15805.513,349.68,1.46e-06,28.0,7.0,13350.0
0.58786607,15546.131000000001,351.35,1.4799998999999999e-06,28.0,7.0,13450.001
0.5850964,15291.0205,353.03,1.51e-06,28.0,7.0,13550.0
0.58233994,15040.1045,354.71,1.53e-06,28.0,7.0,13650.001000000002
0.5795965000000001,14793.3125,356.4,1.56e-06,28.0,7.0,13750.001
0.5768661,14550.577,358.1,1.58e-06,28.0,7.0,13850.0
0.57414865,14311.835,359.81,1.61e-06,28.0,7.0,13950.001
0.57144415,14077.021999999999,361.53,1.64e-06,28.0,7.0,14050.0
0.56875247,13846.069,363.25,1.6600001e-06,28.0,7.0,14150.001000000002
0.56607354,13618.91,364.98,1.69e-06,28.0,7.0,14250.001
0.5634073,13395.485,366.72,1.7199999e-06,28.0,7.0,14350.0
0.5607536999999999,13175.731000000002,368.47,1.75e-06,28.0,7.0,14450.001
0.55811274,12959.595,370.23,1.78e-06,28.0,7.0,14550.001000000002
0.5554843,12747.011,371.99,1.81e-06,28.0,7.0,14650.001000000002
0.5528683000000001,12537.919,373.77,1.8400001000000001e-06,28.0,7.0,14750.001
0.5502648,12332.268,375.55,1.8699999e-06,28.0,7.0,14850.0
0.5476736,12129.997,377.34,1.9e-06,28.0,7.0,14950.001
0.54509467,11931.048,379.14,1.93e-06,28.0,7.0,15050.001000000002
0.54252803,11735.373,380.95,1.97e-06,28.0,7.0,15150.001000000002
0.5399735999999999,11542.917,382.77,2e-06,28.0,7.0,15250.001
0.5374313000000001,11353.623,384.59,2.0300001e-06,28.0,7.0,15350.0
0.5349010000000001,11167.438,386.43,2.07e-06,28.0,7.0,15450.001
0.5323828,10984.315,388.27,2.0999998e-06,28.0,7.0,15550.001000000002
0.5298765000000001,10804.2,390.12,2.14e-06,28.0,7.0,15650.001000000002
0.5273821,10627.048,391.98,2.17e-06,28.0,7.0,15750.001
0.5248995,10452.804,393.85,2.21e-06,28.0,7.0,15850.0
0.5224287000000001,10281.424,395.73,2.2499999e-06,28.0,7.0,15950.001
0.51996964,10112.862,397.62,2.28e-06,28.0,7.0,16050.001000000002
0.5175223,9947.072,399.51,2.32e-06,28.0,7.0,16150.002
0.51508653,9784.006,401.42,2.36e-06,28.0,7.0,16250.0
0.51266235,9623.619,403.33,2.4e-06,28.0,7.0,16350.000000000002
0.5102497,9465.868,405.26,2.44e-06,28.0,7.0,16450.0
0.50784844,9310.709,407.19,2.48e-06,28.0,7.0,16550.001
0.5054586,9158.098,409.13,2.5200002e-06,28.0,7.0,16650.002
0.50308007,9007.993,411.08,2.57e-06,28.0,7.0,16750.0
0.5007129,8860.357,413.04,2.6100001000000004e-06,28.0,7.0,16850.0
0.49835688,8715.146,415.01,2.65e-06,28.0,7.0,16950.0
0.49601206,8572.319,416.99,2.7000000000000004e-06,28.0,7.0,17050.001
0.4936784000000001,8431.84,418.98,2.74e-06,28.0,7.0,17150.002
0.4913558,8293.669,420.98,2.79e-06,28.0,7.0,17250.0
0.48904422,8157.7666,422.98,2.84e-06,28.0,7.0,17350.0
0.48674359999999994,8024.0957,425.0,2.88e-06,28.0,7.0,17450.0
0.48445392,7892.621999999999,427.03,2.93e-06,28.0,7.0,17550.001
0.48217508,7763.3076,429.06,2.98e-06,28.0,7.0,17650.002
0.47990707,7636.116,431.11,3.03e-06,28.0,7.0,17750.0
0.47764984,7511.0166,433.17,3.08e-06,28.0,7.0,17850.0
0.4754032999999999,7387.97,435.23,3.13e-06,28.0,7.0,17950.0
